,SUBDIVISION,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANNUAL,Jan-Feb,Mar-May,Jun-Sep,Oct-Dec,flood,avgjune,sub
101,Haryana Delhi & Chandigarh,2002,11.6,31.1,9.0,1.1,52.0,21.2,19.4,78.2,123.0,1.9,0.0,8.8,357.2,42.7,62.1,241.8,10.7,0,7.066666666666666,30.8
102,Haryana Delhi & Chandigarh,2003,14.7,29.9,4.0,1.8,7.5,26.6,277.6,165.3,58.9,0.0,0.1,11.0,597.6,44.6,13.3,528.5,11.2,0,8.866666666666667,19.1
103,Haryana Delhi & Chandigarh,2004,25.4,0.3,0.0,18.1,40.7,52.5,19.9,252.9,22.1,54.1,0.0,1.2,487.3,25.7,58.8,347.5,55.3,0,17.5,11.799999999999997
104,Haryana Delhi & Chandigarh,2005,13.9,35.7,29.9,2.7,7.6,53.9,175.6,52.6,146.7,0.0,0.8,0.0,519.5,49.6,40.3,428.8,0.8,0,17.966666666666665,46.3
105,Haryana Delhi & Chandigarh,2006,2.3,0.1,30.4,0.6,24.8,45.4,135.2,32.1,49.9,3.8,1.2,5.2,330.9,2.4,55.7,262.6,10.2,0,15.133333333333333,20.599999999999998
106,Haryana Delhi & Chandigarh,2007,0.5,76.0,40.1,2.0,12.4,88.7,82.0,87.9,55.2,0.1,0.3,1.4,446.6,76.5,54.6,313.7,1.7,0,29.566666666666666,76.3
107,Haryana Delhi & Chandigarh,2008,2.4,0.4,0.6,13.4,72.9,193.5,124.3,174.2,114.5,8.4,5.5,0.2,710.4,2.8,86.9,606.6,14.1,0,64.5,120.6
108,Haryana Delhi & Chandigarh,2009,4.1,5.9,5.7,11.7,17.7,15.2,106.4,63.8,160.8,2.5,1.1,0.4,395.4,10.0,35.2,346.3,4.0,0,5.066666666666666,2.5
109,Haryana Delhi & Chandigarh,2010,4.8,10.2,0.5,0.8,5.9,29.1,189.3,198.5,183.9,1.1,3.5,12.8,640.5,15.0,7.2,600.8,17.5,0,9.700000000000001,23.200000000000003
110,Haryana Delhi & Chandigarh,2011,0.7,26.7,6.9,8.9,28.7,94.4,85.0,127.3,133.1,0.0,0.0,0.4,512.0,27.5,44.4,439.8,0.4,0,31.46666666666667,65.7
111,Haryana Delhi & Chandigarh,2012,8.2,0.2,0.1,11.8,3.8,5.3,68.1,196.6,90.7,2.4,0.6,3.5,391.4,8.4,15.8,360.7,6.5,0,1.7666666666666666,1.5
112,Haryana Delhi & Chandigarh,2013,21.1,52.2,5.3,3.3,1.4,62.1,96.5,161.9,42.8,10.9,1.7,2.1,461.2,73.2,10.0,363.3,14.7,0,20.7,60.7
113,Haryana Delhi & Chandigarh,2014,13.0,17.3,26.8,7.5,20.3,25.9,72.3,34.8,67.3,10.5,0.2,9.6,305.5,30.3,54.6,200.2,20.3,0,8.633333333333333,5.599999999999998
114,Haryana Delhi & Chandigarh,2015,12.4,6.6,71.8,34.8,8.4,43.7,130.3,89.2,32.1,3.7,2.3,0.2,435.3,18.9,114.9,295.2,6.2,0,14.566666666666668,35.300000000000004
115,Haryana Delhi & Chandigarh,2016,0.0,1.1,20.7,0.6,26.7,35.8,159.8,133.0,14.8,5.2,0.0,1.0,398.7,1.2,48.1,343.3,6.2,0,11.933333333333332,9.099999999999998
116,Haryana Delhi & Chandigarh,2017,34.2,0.3,7.2,4.3,10.3,121.2,69.2,76.5,92.5,0.0,1.8,4.2,421.6,34.5,21.8,359.4,6.0,0,40.4,110.9
